Service Requests' NYC 311 Calls' unprocessed 197 modalities.
Period: 2018-04-01 - 2018-04-30 

Modality,Obs_count,
Noise - Residential,17665,
HEAT/HOT WATER,14822,
Request Large Bulky Item Collection,13817,
Illegal Parking,11875,
Blocked Driveway,10448,
Street Condition,10020,
Street Light Condition,6217,
Noise,6032,
UNSANITARY CONDITION,5588,
Water System,4413,
PAINT/PLASTER,4178,
Noise - Street/Sidewalk,4110,
Noise - Commercial,3946,
PLUMBING,3553,
Sewer,3345,
Dirty Conditions,3089,
WATER LEAK,3075,
Derelict Vehicle,3063,
Missed Collection (All Materials),3061,
Sanitation Condition,3010,
Traffic Signal Condition,2998,
Derelict Vehicles,2952,
Noise - Vehicle,2581,
DOOR/WINDOW,2568,
Rodent,2556,
General Construction/Plumbing,2496,
Sidewalk Condition,2440,
Building/Use,2355,
FLOORING/STAIRS,1971,
Damaged Tree,1922,
GENERAL,1748,
ELECTRIC,1697,
Graffiti,1513,
New Tree Request,1419,
Electronics Waste,1405,
Consumer Complaint,1316,
Homeless Person Assistance,1216,
Taxi Complaint,1214,
Broken Parking Meter,1143,
DOF Property - Reduction Issue,1115,
Benefit Card Replacement,1091,
Root/Sewer/Sidewalk Condition,933,
For Hire Vehicle Complaint,931,
Maintenance or Facility,927,
APPLIANCE,872,
DOF Property - Payment Issue,861,
Food Establishment,810,
Street Sign - Damaged,704,
Lead,685,
Non-Emergency Police Matter,681,
SAFETY,660,
Animal Abuse,657,
Overgrown Tree/Branches,637,
Other Enforcement,619,
Air Quality,610,
Dead/Dying Tree,609,
Street Sign - Missing,576,
Curb Condition,547,
DOF Property - Request Copy,509,
Special Projects Inspection Team (SPIT),474,
Housing - Low Income Senior,468,
Plumbing,404,
SCRIE,401,
Traffic,373,
DOF Property - Update Account,372,
Indoor Air Quality,358,
Street Sign - Dangling,330,
DOF Parking - Payment Issue,324,
HPD Literature Request,313,
Vending,311,
Highway Condition,310,
Electrical,295,
Smoking,291,
Food Poisoning,284,
Litter Basket / Request,280,
Water Conservation,271,
Illegal Tree Damage,269,
Homeless Encampment,264,
Derelict Bicycle,227,
Violation of Park Rules,220,
Hazardous Materials,216,
Noise - Park,197,
Animal in a Park,195,
Drug Activity,183,
Taxi Report,179,
Housing Options,169,
Asbestos,166,
Standing Water,147,
DOF Property - Owner Issue,146,
DCA / DOH New License Application Request,144,
School Maintenance,142,
DRIE,141,
Drinking,140,
Unsanitary Animal Pvt Property,139,
Water Quality,134,
Vacant Lot,133,
DPR Internal,115,
Question,115,
ELEVATOR,114,
Boilers,111,
Indoor Sewage,100,
Industrial Waste,80,
OUTSIDE BUILDING,80,
Overflowing Litter Baskets,74,
Noise - Helicopter,72,
DOF Parking - Tax Exemption,68,
Ferry Inquiry,65,
Sweeping/Missed,65,
Noise - House of Worship,63,
Bus Stop Shelter Complaint,62,
Unleashed Dog,55,
DOF Parking - Request Copy,54,
Recycling Enforcement,54,
Ferry Complaint,52,
DOF Parking - Request Status,50,
Unsanitary Pigeon Condition,48,
DOF Property - Property Value,44,
Bike/Roller/Skate Chronic,42,
Advocate-Personal Exemptions,40,
For Hire Vehicle Report,40,
BEST/Site Safety,36,
DOF Property - RPIE Issue,35,
Bridge Condition,34,
Day Care,34,
Urinating in Public,32,
Panhandling,31,
Taxi Compliment,31,
Advocate-Prop Refunds/Credits,30,
Non-Residential Heat,30,
Forms,27,
Cranes and Derricks,26,
Bus Stop Shelter Placement,25,
Elder Abuse,23,
Mold,23,
Investigations and Discipline (IAD),21,
Public Payphone Complaint,21,
Senior Center Complaint,21,
Scaffold Safety,19,
Emergency Response Team (ERT),18,
LinkNYC,18,
OEM Literature Request,17,
Alzheimer's Care,16,
Illegal Animal Kept as Pet,16,
Pet Shop,14,
Posting Advertisement,14,
Special Natural Area District (SNAD),14,
FATF,13,
Home Delivered Meal Complaint,13,
Advocate - Other,12,
Illegal Animal Sold,12,
Sweeping/Inadequate,12,
Collection Truck Noise,11,
Found Property,10,
Highway Sign - Missing,10,
Animal Facility - No Permit,9,
Beach/Pool/Sauna Complaint,9,
Drinking Water,9,
Harboring Bees/Wasps,9,
Adopt-A-Basket,8,
Bike Rack Condition,8,
Tattooing,8,
Snow,7,
Taxpayer Advocate Inquiry,7,
Disorderly Youth,6,
DOF Parking - DMV Clearance,6,
Miscellaneous Categories,6,
Comments,5,
Highway Sign - Damaged,5,
Plant,5,
Unsanitary Animal Facility,5,
Window Guard,5,
Bereavement Support Group,4,
Cooling Tower,4,
Ferry Permit,4,
Home Delivered Meal - Missed Delivery,4,
Illegal Fireworks,4,
Public Toilet,4,
Advocate-Co-opCondo Abatement,3,
Lifeguard,3,
Mosquitoes,3,
Municipal Parking Facility,3,
Poison Ivy,3,
Case Management Agency Complaint,2,
Highway Sign - Dangling,2,
Legal Services Provider Complaint,2,
Parking Card,2,
Research Questions,2,
Transportation Provider Complaint,2,
Advocate - Lien,1,
Advocate-Commercial Exemptions,1,
Bottled Water,1,
Calorie Labeling,1,
Elevator,1,
Home Care Provider Complaint,1,
SNW,1,
Tunnel Condition,1,
X-Ray Machine/Equipment,1,
NULL
