"ZIP","Borough","Sani","ConsumProt","NoiseBiz","NoiseResid","WaterSyst","Traffic","NoiseTraf","UrbInf","HousCond","SocServ","IAO","NoiseConst","EnvProt","Violation","Misdemeanor","Felony","medianInc","jlBenef"
10001,"Manhattan",112,77,45,84,40,58,16,143,146,80,44,136,30,11,162,65,63077,420
10002,"Manhattan",166,112,173,236,56,93,40,225,289,21,50,85,35,62,292,160,24894,920
10003,"Manhattan",181,232,69,219,51,86,10,179,165,80,62,169,45,18,91,52,86413,640
10004,"Manhattan",11,13,3,7,11,23,3,47,9,3,17,21,5,10,53,12,125000,60
10005,"Manhattan",8,16,2,18,2,8,25,37,6,2,28,43,3,5,21,7,100735,100
10006,"Manhattan",5,11,5,11,6,19,1,16,6,7,11,51,2,3,40,9,100806,50
10007,"Manhattan",17,15,11,25,10,27,4,78,28,13,34,31,4,13,51,34,174576,60
10009,"Manhattan",160,90,97,300,37,87,14,99,202,31,40,122,30,52,255,107,49944,870
10010,"Manhattan",80,38,51,114,13,30,8,104,91,25,26,48,10,34,139,78,91288,370
10011,"Manhattan",220,70,62,172,49,79,30,222,167,55,55,157,36,40,186,90,95048,750
10012,"Manhattan",119,75,73,152,32,29,16,93,96,46,23,145,13,9,92,42,81996,260
10013,"Manhattan",118,47,44,94,52,74,28,122,90,34,32,114,11,38,253,118,67638,230
10014,"Manhattan",143,53,82,106,31,60,25,147,152,17,31,175,35,31,95,87,100647,440
10016,"Manhattan",129,105,52,107,31,36,17,161,181,57,42,108,41,30,160,76,81414,640
10017,"Manhattan",29,61,9,25,26,28,4,90,42,24,15,40,7,1,18,9,99700,230
10018,"Manhattan",45,56,24,18,32,26,3,91,70,30,24,54,7,0,0,3,72713,140
10019,"Manhattan",144,111,59,111,65,89,32,203,226,45,58,148,39,27,126,61,79183,680
10020,"Manhattan",1,1,0,0,0,2,0,5,6,0,2,1,0,0,0,0,NA,NA
10021,"Manhattan",87,28,6,52,27,31,3,85,78,43,37,47,43,0,3,2,100716,420
10022,"Manhattan",80,75,28,55,61,28,12,163,123,43,32,67,25,15,129,95,115402,340
10023,"Manhattan",141,32,16,117,43,111,18,173,148,70,58,121,31,20,129,68,102562,890
10024,"Manhattan",187,24,13,134,18,60,7,206,234,22,54,54,35,1,7,4,95411,770
10025,"Manhattan",317,55,41,296,17,57,25,200,432,44,52,52,53,6,43,33,60117,1240
10026,"Manhattan",118,19,48,310,10,67,33,91,198,13,30,13,15,44,234,91,37412,630
10027,"Manhattan",203,33,23,312,36,77,28,227,419,14,37,60,35,63,249,101,32967,800
10028,"Manhattan",105,35,21,82,13,54,11,92,132,25,39,98,34,9,56,32,92288,490
10029,"Manhattan",160,35,42,327,19,99,30,180,454,24,36,16,23,57,287,125,27511,1040
10030,"Manhattan",121,9,10,213,12,41,13,37,307,10,18,13,11,6,30,9,27244,430
10031,"Manhattan",202,16,123,602,29,54,61,74,876,25,39,11,38,45,98,62,27613,1050
10032,"Manhattan",94,18,21,379,20,59,39,103,469,21,32,20,21,34,196,69,25832,1050
10033,"Manhattan",107,22,47,464,22,70,29,83,603,37,39,11,32,5,7,5,27527,1070
10034,"Manhattan",96,8,96,439,30,77,90,93,514,15,29,2,18,4,31,24,28945,770
10035,"Manhattan",107,23,30,173,14,51,13,81,254,20,21,10,17,54,264,139,28374,500
10036,"Manhattan",134,93,53,73,50,56,7,152,151,72,54,48,25,74,429,228,66667,730
10037,"Manhattan",47,2,12,109,6,43,3,35,172,13,6,13,2,25,105,42,37682,350
10038,"Manhattan",27,21,14,39,18,30,9,70,56,52,21,53,8,28,101,32,60613,280
10039,"Manhattan",81,3,13,230,16,22,3,34,260,4,19,7,13,38,127,34,27743,480
10040,"Manhattan",80,8,85,445,16,120,65,75,384,12,23,4,19,26,131,64,29011,870
10041,"Manhattan",0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
10044,"Manhattan",12,4,0,1,0,1,0,17,20,1,2,3,2,0,3,2,59375,100
10045,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,NA,NA
10048,"Manhattan",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
10065,"Manhattan",67,34,8,25,43,23,21,172,97,24,24,62,13,30,127,109,97050,290
10069,"Manhattan",4,3,0,1,2,1,3,7,3,0,8,3,1,2,6,7,166379,50
10075,"Manhattan",43,16,18,50,12,43,12,68,58,9,29,26,16,17,71,48,96154,260
10103,"Manhattan",0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,2,NA,NA
10105,"Manhattan",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
10106,"Manhattan",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
10107,"Manhattan",0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,2,NA,NA
10111,"Manhattan",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
10112,"Manhattan",0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA
10115,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA
10118,"Manhattan",0,3,0,0,0,0,0,1,0,2,0,0,0,1,7,1,NA,NA
10119,"Manhattan",2,5,0,0,1,0,0,2,0,3,0,0,0,1,12,4,NA,NA
10120,"Manhattan",0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,NA,NA
10121,"Manhattan",0,3,0,0,1,0,0,1,0,5,0,0,0,0,3,6,NA,NA
10122,"Manhattan",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
10123,"Manhattan",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
10128,"Manhattan",138,30,16,87,49,45,29,138,180,17,58,60,38,17,55,23,84479,720
10154,"Manhattan",0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,NA,NA
10155,"Manhattan",0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,NA,NA
10158,"Manhattan",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA
10162,"Manhattan",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,155263,0
10165,"Manhattan",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
10167,"Manhattan",0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,NA,NA
10168,"Manhattan",0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,NA,NA
10169,"Manhattan",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,NA,NA
10170,"Manhattan",0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,NA,NA
10172,"Manhattan",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA
10173,"Manhattan",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,NA
10174,"Manhattan",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA
10176,"Manhattan",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA
10177,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA
10178,"Manhattan",0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,NA,NA
10199,"Manhattan",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,NA
10203,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
10259,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
10271,"Manhattan",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA,NA
10278,"Manhattan",0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,NA,NA
10279,"Manhattan",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,NA
10280,"Manhattan",5,2,0,4,1,13,4,8,8,0,5,7,1,1,4,3,135088,80
10281,"Manhattan",2,1,0,0,0,2,1,0,0,0,0,1,0,1,5,1,NA,NA
10282,"Manhattan",5,5,0,3,0,13,0,2,0,0,2,0,0,1,1,3,NA,40
10301,"Staten Island",227,11,5,69,61,135,9,308,158,8,49,14,149,39,106,29,41304,450
10302,"Staten Island",107,4,2,57,25,83,2,86,55,7,18,2,48,6,16,10,36022,210
10303,"Staten Island",177,18,3,39,50,123,2,110,114,1,25,0,78,14,19,7,31845,310
10304,"Staten Island",217,10,13,105,75,100,43,220,211,3,31,27,130,30,94,34,34163,500
10305,"Staten Island",232,9,2,37,63,104,6,236,29,7,41,6,131,48,128,58,42771,590
10306,"Staten Island",275,9,24,40,113,141,1,387,64,1,69,5,198,47,100,34,50248,820
10307,"Staten Island",62,3,0,9,15,28,1,68,20,2,18,6,68,12,43,14,60882,190
10308,"Staten Island",136,12,4,13,48,79,0,156,26,2,36,12,102,9,17,7,57995,390
10309,"Staten Island",254,4,3,28,51,91,4,233,35,1,57,13,112,17,64,26,60216,520
10310,"Staten Island",116,6,7,80,57,80,3,178,49,1,26,1,81,42,92,44,39592,290
10312,"Staten Island",340,6,8,13,81,128,12,419,56,4,107,16,266,29,70,22,58992,920
10314,"Staten Island",401,11,5,85,211,301,5,558,92,4,143,13,309,92,228,65,49663,1160
10451,"Bronx",114,33,8,233,26,102,16,155,472,12,27,24,19,79,330,125,23804,790
10452,"Bronx",231,20,41,398,50,118,26,207,1082,17,56,4,18,59,221,77,21194,1230
10453,"Bronx",259,24,20,391,20,161,46,123,1113,11,41,4,19,63,208,106,20189,1270
10454,"Bronx",129,6,9,121,26,74,7,144,183,7,18,2,32,77,269,111,20329,510
10455,"Bronx",100,16,17,167,41,97,10,147,355,13,18,8,22,80,234,140,21578,660
10456,"Bronx",286,19,8,393,35,161,15,95,804,17,85,5,23,96,344,129,20590,1390
10457,"Bronx",291,14,18,354,26,164,21,152,793,15,41,7,18,88,286,120,20450,1010
10458,"Bronx",271,18,23,400,31,122,21,184,1184,28,32,8,26,50,387,186,21645,1060
10459,"Bronx",165,7,29,187,28,107,10,115,427,6,19,3,21,65,209,86,21661,800
10460,"Bronx",199,17,7,233,26,169,8,124,674,11,35,6,18,123,401,151,21507,890
10461,"Bronx",172,14,80,152,38,378,14,231,217,18,35,10,72,60,170,66,38949,710
10462,"Bronx",201,20,6,195,40,273,5,213,718,15,53,19,38,24,103,43,33421,1130
10463,"Bronx",171,15,56,370,49,183,16,223,437,14,44,33,69,26,82,32,40026,1020
10464,"Bronx",26,1,7,5,33,49,6,86,15,1,9,0,12,8,53,16,58681,70
10465,"Bronx",254,9,1,111,51,237,3,228,75,2,39,4,49,21,124,35,45635,670
10466,"Bronx",256,11,3,144,78,379,9,173,527,14,47,10,58,41,151,58,29340,910
10467,"Bronx",357,21,18,538,36,287,20,220,1164,18,52,32,69,66,224,117,25353,1290
10468,"Bronx",181,23,15,522,22,161,56,159,888,19,36,15,37,28,122,65,22045,1130
10469,"Bronx",270,17,9,98,85,408,7,232,262,1,46,1,67,43,196,74,33329,880
10470,"Bronx",69,3,8,29,28,180,2,84,138,4,8,5,18,3,16,8,37758,220
10471,"Bronx",57,2,22,57,37,73,5,140,148,7,18,1,38,2,22,7,65625,230
10472,"Bronx",169,12,109,235,32,188,21,137,468,17,75,6,36,45,184,86,22298,920
10473,"Bronx",107,10,9,137,28,212,26,172,170,11,26,4,31,82,248,95,28967,1080
10474,"Bronx",42,4,4,80,12,74,2,104,101,3,15,0,22,43,133,46,21471,160
10475,"Bronx",22,9,0,28,9,76,0,109,47,3,12,0,10,9,37,14,40404,500
11004,"Queens",29,2,5,8,19,22,4,92,21,0,19,2,22,0,0,1,51852,140
11101,"Queens",195,57,76,73,99,346,21,354,83,14,42,44,25,68,201,116,49617,570
11102,"Queens",107,22,50,116,25,194,11,100,99,8,15,10,15,16,36,23,40583,570
11103,"Queens",169,20,109,104,36,174,17,136,102,6,32,21,29,3,26,12,41363,670
11104,"Queens",67,20,5,64,22,49,4,69,122,8,27,8,29,25,61,33,41799,480
11105,"Queens",184,20,22,81,26,176,9,132,97,5,35,6,34,6,25,17,43957,670
11106,"Queens",151,16,43,95,35,144,6,149,117,14,27,12,20,16,27,18,41159,680
11109,"Queens",1,4,5,9,0,4,2,3,1,0,1,0,2,0,1,0,127928,70
11201,"Brooklyn",243,71,52,160,52,170,24,318,129,16,64,100,96,49,193,97,86525,880
11202,"Brooklyn",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
11203,"Brooklyn",340,27,13,109,68,417,11,172,538,35,91,8,96,106,237,145,31239,1050
11204,"Brooklyn",336,10,2,75,40,429,9,181,202,10,94,5,41,37,96,62,24985,770
11205,"Brooklyn",198,32,86,217,36,149,18,150,186,10,51,17,56,29,111,57,39029,560
11206,"Brooklyn",269,10,87,342,56,183,14,191,455,25,65,34,66,12,43,21,27212,1140
11207,"Brooklyn",422,17,13,268,52,412,11,260,656,21,91,10,115,126,439,298,24216,1390
11208,"Brooklyn",413,20,21,184,79,601,16,218,582,20,103,24,96,53,169,100,23222,1300
11209,"Brooklyn",934,24,46,175,98,472,18,222,375,26,83,21,72,24,127,41,48266,900
