"MISDEMEANOR","FELONY","VIOLATION"
"ASSAULT 3","RAPE 1","HARASSMENT,SUBD 3,4,5"
"LARCENY,PETIT FROM BUILDING,UN","LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT","HARASSMENT,SUBD 1,CIVILIAN"
"FRAUD,UNCLASSIFIED-MISDEMEANOR","LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)","MARIJUANA, POSSESSION"
"AGGRAVATED HARASSMENT 2","RAPE 3","ALCOHOLIC BEVERAGES,PUBLIC CON"
"SEXUAL ABUSE 3,2","FRAUD,UNCLASSIFIED-FELONY","THEFT OF SERVICES- CABLE TV SE"
"CRIMINAL MISCHIEF 4TH, GRAFFIT","LARCENY,GRAND BY DISHONEST EMP","POSSES OR CARRY A KNIFE"
"SEXUAL MISCONDUCT,INTERCOURSE","BURGLARY,RESIDENCE,NIGHT","ADM.CODE,UNCLASSIFIED VIOLATIO"
"CRIMINAL MISCHIEF,UNCLASSIFIED 4","SEX CRIMES","PEDDLING,UNLAWFUL"
"MISCHIEF, CRIMINAL 4, BY FIRE","RAPE 2","TRESPASS 4,CRIMINAL SUB 2"
"MISCHIEF, CRIMINAL 4, OF MOTOR","LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK","DISORDERLY CONDUCT"
"LARCENY,PETIT OF LICENSE PLATE","SODOMY 1","IMITATION PISTOL/AIR RIFLE"
"CHILD, ENDANGERING WELFARE","LARCENY,GRAND BY THEFT OF CREDIT CARD","PARKR&R,UNCLASSIFIED VIOLATION"
"UNAUTHORIZED USE VEHICLE 3","LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT","NY STATE LAWS,UNCLASSIFIED VIO"
"VIOLATION OF ORDER OF PROTECTI","LARCENY,GRAND FROM RESIDENCE, UNATTENDED","APPEARANCE TICKET FAIL TO RESP"
"PUBLIC ADMINISTATION,UNCLASS M","SEXUAL ABUSE","NA"
"LARCENY,PETIT BY CREDIT CARD U","LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","NA"
"CUSTODIAL INTERFERENCE 2","COERCION 1","NA"
"LARCENY,PETIT FROM OPEN AREAS,","PUBLIC ADMINISTRATION,UNCLASSI","NA"
"NY STATE LAWS,UNCLASSIFIED MIS","COMPUTER TAMPER/TRESSPASS","NA"
"LARCENY,PETIT FROM STORE-SHOPL","LARCENY,GRAND FROM OPEN AREAS, UNATTENDED","NA"
"FORGERY,ETC.-MISD.","LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED","NA"
"LARCENY,PETIT FROM AUTO","BURGLARY,RESIDENCE,UNKNOWN TIM","NA"
"STOLEN PROPERTY 3,POSSESSION","BURGLARY,RESIDENCE,DAY","NA"
"LARCENY,PETIT BY FALSE PROMISE","LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT","NA"
"CONTEMPT,CRIMINAL","TAMPERING 1,CRIMINAL","NA"
"LARCENY,PETIT BY CHECK USE","RAPE 1,ATTEMPT","NA"
"BRIBERY,COMMERCIAL","LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT","NA"
"MENACING,UNCLASSIFIED","LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER","NA"
"OBSTR BREATH/CIRCUL","FORGERY,ETC.,UNCLASSIFIED-FELO","NA"
"ADM.CODE,UNCLASSIFIED MISDEMEA","NY STATE LAWS,UNCLASSIFIED FEL","NA"
"LARCENY,PETIT OF VEHICLE ACCES","CRIMINAL CONTEMPT 1","NA"
"LEWDNESS,PUBLIC","LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION","NA"
"CONTROLLED SUBSTANCE, POSSESSI","LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD","NA"
"MARIJUANA, POSSESSION 4 & 5","MISCHIEF,CRIMINAL,    UNCL 2ND","NA"
"WEAPONS, POSSESSION, ETC","ARSON 2,3,4","NA"
"INTOXICATED DRIVING,ALCOHOL","RECKLESS ENDANGERMENT 1","NA"
"TRESPASS 2, CRIMINAL","MISCHIEF, CRIMINAL 3 & 2, OF M","NA"
"THEFT,RELATED OFFENSES,UNCLASS","LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES","NA"
"ACCOSTING,FRAUDULENT","LARCENY,GRAND FROM STORE-SHOPL","NA"
"MARIJUANA, SALE 4 & 5","LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED","NA"
"LARCENY,PETIT OF MOTORCYCLE","LARCENY,GRAND BY ACQUIRING LOS","NA"
"LARCENY,PETIT OF BICYCLE","LARCENY,GRAND FROM VEHICLE/MOTORCYCLE","NA"
"RECKLESS ENDANGERMENT 2","LARCENY,GRAND OF AUTO","NA"
"LEAVING SCENE-ACCIDENT-PERSONA","BURGLARY,COMMERCIAL,NIGHT","NA"
"IMPERSONATION 2, PUBLIC SERVAN","LARCENY,GRAND FROM RETAIL STORE, UNATTENDED","NA"
"RESISTING ARREST","BURGLARY,COMMERCIAL,UNKNOWN TI","NA"
"TRAFFIC,UNCLASSIFIED MISDEMEAN","LARCENY,GRAND FROM PERSON,PICK","NA"
"LARCENY,PETIT BY ACQUIRING LOS","LARCENY,GRAND OF MOTORCYCLE","NA"
"TRESPASS 3, CRIMINAL","LARCENY,GRAND BY EXTORTION","NA"
"LARCENY,PETIT FROM TRUCK","WEAPONS POSSESSION 3","NA"
"IMPRISONMENT 2,UNLAWFUL","FORGERY,DRIVERS LICENSE","NA"
"BURGLARS TOOLS,UNCLASSIFIED","LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)","NA"
"THEFT OF SERVICES, UNCLASSIFIE","ROBBERY,OPEN AREA UNCLASSIFIED","NA"
"LARCENY,PETIT FROM BOAT","LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED","NA"
"LARCENY,PETIT BY DISHONEST EMP","CONTROLLED SUBSTANCE,INTENT TO","NA"
"RECKLESS ENDANGERMENT OF PROPE","ASSAULT 2,1,UNCLASSIFIED","NA"
"TAX LAW","CONTROLLED SUBSTANCE,POSSESS.","NA"
"UNAUTH. SALE OF TRANS. SERVICE","ROBBERY,DWELLING","NA"
"PETIT LARCENY-CHECK FROM MAILB","IMPRISONMENT 1,UNLAWFUL","NA"
"IMPAIRED DRIVING,DRUG","STRANGULATION 1ST","NA"
"ASSEMBLY,UNLAWFUL","LARCENY,GRAND FROM EATERY, UNATTENDED","NA"
"BAIL JUMPING 3","STOLEN PROPERTY 2,1,POSSESSION","NA"
"FALSE REPORT UNCLASSIFIED","LARCENY, GRAND OF AUTO - ATTEM","NA"
"RECORDS,FALSIFY-TAMPER","BURGLARY,TRUCK NIGHT","NA"
"SEXUAL MISCONDUCT,DEVIATE","ROBBERY,PERSONAL ELECTRONIC DEVICE","NA"
"PROSTITUTION, PATRONIZING 4, 3","BURGLARY,UNCLASSIFIED,NIGHT","NA"
"SALE OF UNAUTHORIZED RECORDING","LARCENY,GRAND OF BICYCLE","NA"
"DRUG PARAPHERNALIA,   POSSESSE","ARSON, MOTOR VEHICLE 1 2 3 & 4","NA"
"CHILD,ALCOHOL SALE TO","WEAPONS POSSESSION 1 & 2","NA"
"GAMBLING 2,PROMOTING,UNCLASSIF","CONTROLLED SUBSTANCE, SALE 5","NA"
"CHECK,BAD","FORGERY,M.V. REGISTRATION","NA"
"FALSE REPORT BOMB","ASSAULT 2,1,PEACE OFFICER","NA"
"LARCENY, PETIT OF AUTO - ATTEM","NA","NA"
"RECKLESS DRIVING","ROBBERY,COMMERCIAL UNCLASSIFIED","NA"
"AGRICULTURE & MARKETS LAW,UNCL","FORGERY-ILLEGAL POSSESSION,VEH","NA"
"TAMPERING 3,2, CRIMINAL","ROBBERY,RESIDENTIAL COMMON AREA","NA"
"PROSTITUTION 4,PROMOTING&SECUR","LARCENY,GRAND FROM PERSON, BAG OPEN/DIP","NA"
"GENERAL BUSINESS LAW,TICKET SP","CONTROLLED SUBSTANCE,SALE 1","NA"
"LARCENY,PETIT OF BOAT","BRIBERY,PUBLIC ADMINISTRATION","NA"
"POSSESSION HYPODERMIC INSTRUME","IMPERSONATION 1, POLICE OFFICE","NA"
"ALCOHOLIC BEVERAGE CONTROL LAW","MARIJUANA, SALE 1, 2 & 3","NA"
"GAMBLING, DEVICE, POSSESSION","ROBBERY,PUBLIC PLACE INSIDE","NA"
"STOLEN PROP-MOTOR VEHICLE 3RD,","MENACING 1ST DEGREE (VICT NOT","NA"
"CHILD,OFFENSES AGAINST,UNCLASS","CRIMINAL MIS 2 & 3","NA"
"LARCENY,PETIT OF AUTO","ROBBERY, PAYROLL","NA"
"PUBLIC SAFETY,UNCLASSIFIED MIS","ROBBERY,HOME INVASION","NA"
"LARCENY, PETIT OF MOPED","CONTROLLED SUBSTANCE,SALE 3","NA"
"DOG STEALING","LARCENY,GRAND FROM PERSON,PURS","NA"
"DIS. CON.,AGGRAVATED","THEFT,RELATED OFFENSES,UNCLASS","NA"
"RIOT 2/INCITING","LARCENY,GRAND FROM PERSON,UNCL","NA"
"MENACING,PEACE OFFICER","ROBBERY,CAR JACKING","NA"
"JOSTLING","AGGRAVATED HARASSMENT 1","NA"
"PERJURY 3,ETC.","BURGLARY,COMMERCIAL,DAY","NA"
"ESCAPE 3","LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE","NA"
"PUBLIC HEALTH LAW,UNCLASSIFIED","ROBBERY,POCKETBOOK/CARRIED BAG","NA"
"COMPUTER UNAUTH. USE/TAMPER","CONTROLLED SUBSTANCE, POSSESSI","NA"
"FALSE ALARM FIRE","UNAUTHORIZED USE VEHICLE 2","NA"
"NUISANCE,CRIMINAL,UNCLASSIFIED","CONTROLLED SUBSTANCE, INTENT T","NA"
"WOUNDS,REPORTING OF","BURGLARY,TRUCK DAY","NA"
"LARCENY,PETIT FROM COIN MACHIN","MARIJUANA, POSSESSION 1, 2 & 3","NA"
"NA","ROBBERY,OF TRUCK DRIVER","NA"
"NA","CRIMINAL DISPOSAL FIREARM 1 &","NA"
"NA","CONTROLLED SUBSTANCE,SALE 2","NA"
"NA","LARCENY,GRAND BY OPEN BANK ACCT","NA"
"NA","BURGLARY,UNCLASSIFIED,UNKNOWN","NA"
"NA","FORGERY,PRESCRIPTION","NA"
"NA","SODOMY 2","NA"
"NA","GAMBLING 1,PROMOTING,BOOKMAKIN","NA"
"NA","AGGRAVATED CRIMINAL CONTEMPT","NA"
"NA","ROBBERY, CHAIN STORE","NA"
"NA","FALSE REPORT 1,FIRE","NA"
"NA","ROBBERY,PHARMACY","NA"
"NA","ROBBERY,LICENSED MEDALLION CAB","NA"
"NA","STOLEN PROPERTY-MOTOR VEH 2ND,","NA"
"NA","LARCENY,GRAND OF TRUCK","NA"
"NA","ROBBERY,LIQUOR STORE","NA"
"NA","LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)","NA"
"NA","BRIBERY, POLICE OFFICER","NA"
"NA","ARSON 1","NA"
"NA","TRESPASS 1,CRIMINAL","NA"
"NA","ROBBERY,UNLICENSED FOR HIRE VEHICLE","NA"
"NA","CONTROLLED SUBSTANCE, SALE 4","NA"
"NA","ROBBERY,BICYCLE","NA"
"NA","OBSCENE MATERIAL - UNDER 17 YE","NA"
"NA","ROBBERY,BANK","NA"
"NA","ROBBERY,NECKCHAIN/JEWELRY","NA"
"NA","LARCENY,GRAND PERSON,NECK CHAI","NA"
"NA","ROBBERY,BODEGA/CONVENIENCE STORE","NA"
"NA","DRUG PARAPHERNALIA,   POSSESSE","NA"
"NA","CUSTODIAL INTERFERENCE 1","NA"
"NA","ESCAPE 2,1","NA"
"NA","PROMOTING A SEXUAL PERFORMANCE","NA"
"NA","BURGLARY,UNCLASSIFIED,DAY","NA"
"NA","ROBBERY,GAS STATION","NA"
"NA","MENACING 1ST DEGREE (VICT PEAC","NA"
"NA","USE OF A CHILD IN A SEXUAL PER","NA"
"NA","CONSPIRACY 2, 1","NA"
"NA","SEX TRAFFICKING","NA"
"NA","INCOMPETENT PERSON,KNOWINGLY ENDANGERING","NA"
"NA","TAX LAW","NA"
"NA","MANUFACTURE UNAUTHORIZED RECOR","NA"
"NA","MISCHIEF, CRIMINAL 3&2, BY FIR","NA"
"NA","ROBBERY,ON BUS/ OR BUS DRIVER","NA"
"NA","ROBBERY,ATM LOCATION","NA"
"NA","LARCENY,GRAND FROM TRUCK, UNATTENDED","NA"
"NA","OBSCENITY 1","NA"
"NA","CHILD ABANDONMENT","NA"
"NA","INTOXICATED DRIVING,ALCOHOL","NA"
"NA","HOMICIDE, NEGLIGENT, VEHICLE,","NA"
"NA","MAKING TERRORISTIC THREAT","NA"
"NA","BURGLARY,UNKNOWN TIME","NA"
"NA","KIDNAPPING 2","NA"
"NA","BAIL JUMPING 1 & 2","NA"
"NA","FACILITATION 3,2,1, CRIMINAL","NA"
"NA","SOLICITATION 3,2,1, CRIMINAL","NA"
"NA","END WELFARE VULNERABLE ELDERLY PERSON","NA"
"NA","AGGRAVATED SEXUAL ASBUSE","NA"
"NA","LARCENY,GRAND FROM PIER, UNATTENDED","NA"
"NA","ROBBERY,BAR/RESTAURANT","NA"
"NA","SODOMY 3","NA"
"NA","SUPP. ACT TERR 2ND","NA"
"NA","LARCENY, GRAND OF MOPED","NA"
"NA","LARCENY,GRAND FROM BOAT, UNATTENDED","NA"
"NA","SALE SCHOOL GROUNDS 4","NA"
"NA","KIDNAPPING 1","NA"
"NA","ROBBERY,CHECK CASHING BUSINESS","NA"
