"ZIP","Borough","HousCond","Sani","NoiseResid","Traffic","NoiseConst","NoiseTraf","IAO","NoiseBiz","EnvProt","ConsumProt","UrbInf","SocServ","WaterSyst","Violation","Misdemeanor","Felony","medianInc","jlBenef"
10001,"Manhattan",28,31,68,42,100,18,34,26,19,90,89,39,37,20,170,76,62500,420
10002,"Manhattan",25,97,205,81,64,72,31,148,21,39,121,19,101,62,349,153,24123,1060
10003,"Manhattan",49,77,139,47,70,107,55,80,31,82,111,74,81,10,122,60,85067,650
10004,"Manhattan",10,4,4,4,17,9,7,7,1,16,61,1,7,9,36,22,129808,50
10005,"Manhattan",4,7,4,5,13,7,18,2,6,16,41,4,3,5,10,9,100735,100
10006,"Manhattan",12,5,4,3,11,6,6,6,0,9,19,1,4,4,47,9,97596,40
10007,"Manhattan",15,11,3,17,29,17,19,5,5,20,71,4,11,12,35,31,186842,60
10009,"Manhattan",32,72,235,38,55,56,35,117,26,39,39,18,34,51,250,140,49508,1030
10010,"Manhattan",18,29,61,19,50,31,21,18,14,51,83,16,28,37,177,99,88974,350
10011,"Manhattan",50,111,112,61,119,81,97,86,51,57,139,16,57,36,146,99,95092,780
10012,"Manhattan",22,41,81,33,33,54,17,133,25,41,51,10,22,8,70,50,81338,270
10013,"Manhattan",43,90,38,59,95,51,39,70,20,37,171,13,38,23,238,116,65048,240
10014,"Manhattan",26,64,99,35,48,53,19,83,28,42,82,12,26,18,148,80,98282,470
10016,"Manhattan",22,51,111,60,150,42,45,46,16,82,222,23,55,17,119,82,83022,610
10017,"Manhattan",21,18,36,122,35,95,28,70,10,52,43,11,9,2,16,8,100704,240
10018,"Manhattan",13,21,12,29,38,18,30,28,3,44,55,14,24,0,2,6,72344,140
10019,"Manhattan",44,64,107,70,110,139,63,50,30,120,125,41,46,37,111,44,78453,790
10020,"Manhattan",1,0,0,0,4,2,1,0,0,3,6,0,1,0,0,0,NA,NA
10021,"Manhattan",10,33,34,50,31,7,63,12,41,27,80,7,80,0,2,2,98810,420
10022,"Manhattan",37,35,23,30,70,18,37,32,12,75,77,14,29,20,76,85,112419,380
10023,"Manhattan",43,43,84,53,32,71,43,14,39,48,111,11,26,24,126,53,101633,840
10024,"Manhattan",36,51,119,42,66,56,38,28,22,35,81,23,32,1,9,13,94014,730
10025,"Manhattan",63,71,205,42,62,117,40,58,32,38,74,34,41,15,51,36,58610,1300
10026,"Manhattan",27,44,174,23,10,128,12,33,21,24,44,14,12,38,247,76,35731,680
10027,"Manhattan",25,61,245,43,31,123,30,79,23,21,52,15,29,56,304,105,31713,890
10028,"Manhattan",29,37,73,30,53,21,23,18,12,36,79,15,23,7,79,49,90572,510
10029,"Manhattan",17,42,262,104,24,66,21,170,30,31,89,15,38,70,308,117,26478,1190
10030,"Manhattan",17,25,164,32,2,45,7,5,12,8,20,10,10,1,20,9,25715,540
10031,"Manhattan",61,44,384,24,18,80,15,38,23,13,26,17,22,29,160,54,26175,1200
10032,"Manhattan",19,25,365,85,10,170,15,28,9,17,31,19,23,43,172,83,24663,1190
10033,"Manhattan",37,28,212,69,19,77,31,33,13,16,47,18,10,1,8,8,25827,1160
10034,"Manhattan",12,34,234,51,10,121,30,200,39,28,55,9,26,11,34,14,26895,880
10035,"Manhattan",17,35,130,31,8,49,16,27,13,24,34,15,16,69,295,141,25867,560
10036,"Manhattan",50,41,36,123,80,97,88,59,27,61,87,15,41,56,401,243,66882,670
10037,"Manhattan",23,17,42,6,7,15,10,1,3,11,19,15,6,32,126,55,36773,410
10038,"Manhattan",28,10,42,20,96,17,17,18,8,19,66,15,17,13,59,30,60015,260
10039,"Manhattan",13,14,134,20,3,29,6,6,6,2,9,12,4,39,157,71,25840,500
10040,"Manhattan",15,28,258,19,9,212,15,88,7,10,25,7,19,40,125,86,27048,950
10041,"Manhattan",1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,NA,NA
10044,"Manhattan",1,3,0,1,1,2,2,0,3,1,3,0,2,1,3,1,59073,110
10045,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
10048,"Manhattan",0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,NA,NA
10065,"Manhattan",12,16,26,31,65,17,16,50,9,26,39,8,25,18,133,93,95759,240
10069,"Manhattan",2,1,1,6,0,0,3,0,0,0,5,0,0,1,6,3,175893,50
10075,"Manhattan",13,17,34,8,37,11,26,12,11,14,36,12,21,13,57,65,94318,310
10103,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,NA,NA
10107,"Manhattan",0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,NA,NA
10112,"Manhattan",0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,3,NA,NA
10118,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA
10119,"Manhattan",0,2,0,0,0,0,0,0,0,0,2,0,0,0,33,4,NA,NA
10121,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,NA,NA
10123,"Manhattan",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA
10128,"Manhattan",36,38,121,39,122,24,49,22,26,33,71,11,29,17,58,32,82385,660
10129,"Manhattan",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
10162,"Manhattan",1,1,1,0,2,0,1,4,0,0,0,0,0,0,0,1,158333,0
10167,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,NA
10169,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
10170,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,NA
10174,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
10178,"Manhattan",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
10259,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
10271,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
10278,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,NA,NA
10280,"Manhattan",6,5,3,1,7,11,3,1,3,12,14,0,9,1,5,3,130992,130
